QueryNumber;DocInfos
1;[177, '496', 0.033484330684517]
1;[178, '677', 0.033404317842466176]
1;[179, '467', 0.033175929888679526]
1;[180, '690', 0.03311087297306375]
1;[181, '988', 0.03265888115742575]
1;[182, '998', 0.03248761487151368]
1;[183, '440', 0.032455656553678124]
1;[184, '316', 0.0323231760066859]
1;[185, '1118', 0.03225935255455194]
1;[186, '594', 0.03209895552778609]
1;[187, '810', 0.03192647914251627]
1;[188, '836', 0.031866662787663626]
1;[189, '524', 0.0318281829896873]
1;[190, '854', 0.03152756056119828]
1;[191, '1147', 0.03147076325539683]
1;[192, '296', 0.03145619967172574]
1;[193, '271', 0.031391059296843375]
1;[194, '915', 0.0312370649818983]
1;[195, '101', 0.03102589895934753]
1;[196, '529', 0.03092584569988461]
1;[197, '51', 0.030853231536368843]
1;[198, '244', 0.03065597339731261]
1;[199, '903', 0.03054613949368627]
1;[200, '144', 0.03043665167541449]
1;[201, '876', 0.030386838257931918]
1;[202, '1185', 0.030312612711132017]
1;[203, '973', 0.030216473738374924]
1;[204, '806', 0.03018675494259701]
1;[205, '570', 0.029876500271676622]
1;[206, '852', 0.02974882962490739]
1;[207, '840', 0.029606172675277768]
1;[208, '1199', 0.029540096279049934]
1;[209, '250', 0.02948777863390934]
1;[210, '1206', 0.02941955423499643]
1;[211, '427', 0.02941202983335193]
1;[212, '539', 0.02935211613684391]
1;[213, '290', 0.029255375972264932]
1;[214, '172', 0.029045501376349973]
1;[215, '878', 0.028809191873015047]
1;[216, '633', 0.02870906771611464]
1;[217, '263', 0.028692283966336433]
1;[218, '1090', 0.0286515970123631]
1;[219, '181', 0.02837430506789206]
1;[220, '1059', 0.02832257669996436]
1;[221, '187', 0.02813807349802579]
1;[222, '1119', 0.02802154042284026]
1;[223, '114', 0.028021131693305657]
1;[224, '793', 0.027951547518684346]
1;[225, '658', 0.02784043195347046]
1;[226, '1092', 0.02775706395342354]
1;[227, '778', 0.027697045128530013]
1;[228, '102', 0.02768690506775525]
1;[229, '366', 0.02764261346275959]
1;[230, '987', 0.02753190677045762]
1;[231, '24', 0.027427304173167404]
1;[232, '1042', 0.027404727284763963]
1;[233, '614', 0.02740151209694666]
1;[234, '451', 0.027305000726761043]
1;[235, '61', 0.027245036951444777]
1;[236, '1205', 0.02722151496283474]
1;[237, '722', 0.02716291738301868]
1;[238, '88', 0.026990230705128106]
1;[239, '738', 0.026658613166116573]
1;[240, '559', 0.026626316149558685]
1;[241, '581', 0.026572788261821245]
1;[242, '766', 0.026572086420844136]
1;[243, '617', 0.02656274612216814]
1;[244, '768', 0.02656164117897875]
1;[245, '1149', 0.026522568158852834]
1;[246, '589', 0.026353353048631217]
1;[247, '1077', 0.02635165004101796]
1;[248, '281', 0.026190421813392553]
1;[249, '1124', 0.026092114330380882]
1;[250, '242', 0.025943260610980495]
1;[251, '7', 0.025777220259525106]
1;[252, '1173', 0.025748784054617294]
1;[253, '870', 0.0257234773610464]
1;[254, '122', 0.02567327706092331]
1;[255, '1202', 0.025586801062031945]
1;[256, '411', 0.025559742481659917]
1;[257, '638', 0.025491429686668017]
1;[258, '1016', 0.025310303377320428]
1;[259, '634', 0.025011579173654385]
1;[260, '546', 0.02488125930437833]
1;[261, '710', 0.024834624829897227]
1;[262, '421', 0.024556061109013427]
1;[263, '256', 0.024451031889857925]
1;[264, '851', 0.02433867473137279]
1;[265, '577', 0.024267975101820053]
1;[266, '1135', 0.024241769622613155]
1;[267, '1103', 0.024174820156312282]
1;[268, '460', 0.024025099838974568]
1;[269, '422', 0.023964333459579556]
1;[270, '293', 0.023849850328639108]
1;[271, '780', 0.023815176458713005]
1;[272, '639', 0.023810692492368602]
1;[273, '229', 0.023809240112433714]
1;[274, '208', 0.02357221875818163]
1;[275, '928', 0.023282991433664114]
1;[276, '1082', 0.02327751221551073]
1;[277, '303', 0.023266112607675967]
1;[278, '725', 0.023240247344308986]
1;[279, '205', 0.023207036680724383]
1;[280, '320', 0.023141225423912042]
1;[281, '1104', 0.023134550278435966]
1;[282, '369', 0.023081654214997128]
1;[283, '790', 0.022906007390012893]
1;[284, '588', 0.022903625371972856]
1;[285, '1111', 0.022816181864186824]
1;[286, '47', 0.022799033573294228]
1;[287, '1050', 0.022660205502036963]
1;[288, '23', 0.0226594830823646]
1;[289, '80', 0.022556849142791702]
1;[290, '1054', 0.02246878434647695]
1;[291, '1106', 0.022350852447166305]
1;[292, '696', 0.022334512496077527]
1;[293, '860', 0.02231760688931755]
1;[294, '784', 0.022253291238378]
1;[295, '1041', 0.021960677432997195]
1;[296, '1007', 0.021915347703016796]
1;[297, '1000', 0.021774620691280767]
1;[298, '1152', 0.021747594730664895]
1;[299, '479', 0.021655953826998926]
1;[300, '567', 0.0215968498544445]
1;[301, '528', 0.021448946090662155]
1;[302, '765', 0.021372378094831317]
1;[303, '41', 0.021316823306903234]
1;[304, '314', 0.021293210327177247]
1;[305, '661', 0.021293159768073392]
1;[306, '100', 0.021282466584109257]
1;[307, '204', 0.02112083450703722]
1;[308, '972', 0.02109405624167208]
1;[309, '6', 0.020953747757759267]
1;[310, '1164', 0.020882215072736104]
1;[311, '466', 0.020820309417954135]
1;[312, '1060', 0.02074152442101191]
1;[313, '472', 0.020638533112635693]
1;[314, '358', 0.02061352188021352]
1;[315, '383', 0.020593143780074975]
1;[316, '629', 0.020570634029175302]
1;[317, '26', 0.020542982469554442]
1;[318, '1067', 0.020537643215724922]
1;[319, '295', 0.0205102006633995]
1;[320, '364', 0.020506698827034178]
1;[321, '82', 0.020453472185485343]
1;[322, '59', 0.020437202827513247]
1;[323, '1181', 0.02042494587003982]
1;[324, '769', 0.020390786407769278]
1;[325, '453', 0.02038421065194098]
1;[326, '212', 0.020374782337622483]
1;[327, '160', 0.020373708967389922]
1;[328, '1108', 0.020311057839494554]
1;[329, '1232', 0.020063387582303416]
1;[330, '217', 0.020001089192616825]
1;[331, '1165', 0.019942320463733326]
1;[332, '737', 0.019773783796480898]
1;[333, '1161', 0.019755638786104673]
1;[334, '829', 0.01973253309172255]
1;[335, '394', 0.019673654804809714]
1;[336, '800', 0.01950292157025382]
1;[337, '562', 0.019479091092716647]
1;[338, '231', 0.019316420412088076]
1;[339, '184', 0.019240966791565756]
1;[340, '185', 0.01912709561978991]
1;[341, '521', 0.019120551501653146]
1;[342, '238', 0.019107590581264263]
1;[343, '322', 0.019001862333277966]
1;[344, '1068', 0.01899465277244203]
1;[345, '334', 0.018977795439816925]
1;[346, '652', 0.018902083474666254]
1;[347, '890', 0.018886646801479872]
1;[348, '469', 0.018790720082090765]
1;[349, '650', 0.01869812957525895]
1;[350, '1223', 0.01860617153536146]
1;[351, '327', 0.018561323020532518]
1;[352, '513', 0.018555490999538318]
1;[353, '1224', 0.018536651349513485]
1;[354, '630', 0.018535915876484243]
1;[355, '174', 0.018496998245300954]
1;[356, '606', 0.018320696523278352]
1;[357, '859', 0.01828039831706982]
1;[358, '305', 0.01820779109926261]
1;[359, '1075', 0.018053688568754576]
1;[360, '844', 0.018028427817910697]
1;[361, '1044', 0.017988170392600967]
1;[362, '30', 0.01794997251419443]
1;[363, '130', 0.01793617460635883]
1;[364, '916', 0.017906963137119886]
1;[365, '623', 0.01785940825272684]
1;[366, '273', 0.017845559022048586]
1;[367, '1', 0.01779671137573001]
1;[368, '357', 0.017763039033431755]
1;[369, '751', 0.017666888590206438]
1;[370, '462', 0.01752829007511433]
1;[371, '532', 0.01751708887838508]
1;[372, '1058', 0.017511897461599344]
1;[373, '224', 0.01748426205959767]
1;[374, '913', 0.017471406077262712]
1;[375, '89', 0.01746393817087479]
1;[376, '349', 0.017358101964922285]
1;[377, '667', 0.017306723889748254]
1;[378, '326', 0.017255091914990875]
1;[379, '587', 0.017205563260805315]
1;[380, '183', 0.017151679638978616]
1;[381, '258', 0.01704301925064785]
1;[382, '536', 0.017030367107823057]
1;[383, '680', 0.017009923934313966]
1;[384, '228', 0.016987853157333452]
1;[385, '141', 0.016889640469924867]
1;[386, '673', 0.016671932050621122]
1;[387, '1179', 0.016579621316989788]
1;[388, '865', 0.01656868858066249]
1;[389, '471', 0.01645604980696069]
1;[390, '447', 0.01639805124097738]
1;[391, '698', 0.016274966156823594]
1;[392, '1191', 0.01623248990179743]
1;[393, '1121', 0.016228068275568712]
1;[394, '688', 0.01607110294992481]
1;[395, '1009', 0.016055655816150313]
1;[396, '631', 0.015952619080913475]
1;[397, '211', 0.015878596553936787]
1;[398, '150', 0.015810649637064057]
1;[399, '372', 0.015717202097142717]
1;[400, '648', 0.015697678887550023]
1;[401, '1159', 0.015532793324921777]
1;[402, '1065', 0.015480841748727193]
1;[403, '351', 0.015465455668084287]
1;[404, '728', 0.015456299594453942]
1;[405, '1190', 0.01540132185032007]
1;[406, '912', 0.01538770499055673]
1;[407, '391', 0.015370290980547886]
1;[408, '919', 0.015332062474844492]
1;[409, '833', 0.015311843875179183]
1;[410, '657', 0.015217576728441004]
1;[411, '694', 0.015072842811961064]
1;[412, '727', 0.015047497814254792]
1;[413, '1035', 0.014987438492471642]
1;[414, '1139', 0.01497079482999584]
1;[415, '622', 0.014863526862633017]
1;[416, '1048', 0.014743385191204226]
1;[417, '260', 0.014724265632085223]
1;[418, '715', 0.014600694508360794]
1;[419, '887', 0.014587290012421544]
1;[420, '284', 0.014491662609733153]
1;[421, '618', 0.014469080299720178]
1;[422, '602', 0.014370883300766758]
1;[423, '858', 0.014364148863094495]
1;[424, '897', 0.014261899797964068]
1;[425, '223', 0.014230176144721834]
1;[426, '590', 0.01416348087348136]
1;[427, '1163', 0.014139063924871707]
1;[428, '583', 0.013999972467097473]
1;[429, '604', 0.013995598452269576]
1;[430, '415', 0.01399041064466704]
1;[431, '907', 0.013899984005508724]
1;[432, '879', 0.013867737647358328]
1;[433, '815', 0.013866008321472853]
1;[434, '201', 0.013824465064719998]
1;[435, '1169', 0.013807656936256556]
1;[436, '811', 0.013736720431359836]
1;[437, '1125', 0.01364630828585034]
1;[438, '119', 0.013638435917112387]
1;[439, '268', 0.013517150554107382]
1;[440, '705', 0.01347020476778863]
1;[441, '1047', 0.013409823259616918]
1;[442, '31', 0.013370567103985442]
1;[443, '830', 0.01329670414503826]
1;[444, '455', 0.013292512029634595]
1;[445, '489', 0.013277374921581531]
1;[446, '1195', 0.013128923362584937]
1;[447, '873', 0.013025901475013143]
1;[448, '684', 0.012920452773160507]
1;[449, '1003', 0.012806661626488379]
1;[450, '951', 0.012775469753840987]
1;[451, '747', 0.012706495933989696]
1;[452, '782', 0.01262007038640774]
1;[453, '1129', 0.012604206784982927]
1;[454, '926', 0.012602413385274716]
1;[455, '884', 0.012588321045950202]
1;[456, '968', 0.012583673637002146]
1;[457, '1239', 0.012545615504070535]
1;[458, '579', 0.012454337359051968]
1;[459, '552', 0.012425352318682343]
1;[460, '965', 0.012403618276225636]
1;[461, '1091', 0.01232022330427609]
1;[462, '899', 0.012277626266924267]
1;[463, '1066', 0.012197043350382547]
1;[464, '190', 0.012189275903182546]
1;[465, '905', 0.012178357221026538]
1;[466, '414', 0.01202226916676905]
1;[467, '1117', 0.011994056337994056]
1;[468, '1057', 0.011993385408700296]
1;[469, '952', 0.011949702431889874]
1;[470, '826', 0.011944902008964201]
1;[471, '1172', 0.011883002544833836]
1;[472, '446', 0.011873328510210142]
1;[473, '612', 0.011871095590006077]
1;[474, '892', 0.011829995068570064]
1;[475, '1033', 0.011793381440922315]
1;[476, '885', 0.011752926921497518]
1;[477, '340', 0.011727079050122269]
1;[478, '803', 0.011719980007602604]
1;[479, '828', 0.011716687958315725]
1;[480, '1019', 0.011676653758595149]
1;[481, '906', 0.011581742702136638]
1;[482, '200', 0.011571702595294702]
1;[483, '692', 0.011502870092993356]
1;[484, '487', 0.011491584099998554]
1;[485, '555', 0.011444081780090303]
1;[486, '210', 0.011404366848057325]
1;[487, '755', 0.011400743043086485]
1;[488, '842', 0.011379897445034454]
1;[489, '195', 0.011373560410058431]
1;[490, '304', 0.011323772830532874]
1;[491, '519', 0.011313987808938875]
1;[492, '597', 0.011284735104646884]
1;[493, '1131', 0.01121105783805837]
1;[494, '438', 0.01120967557666625]
1;[495, '923', 0.011207145012643341]
1;[496, '401', 0.011191868053485035]
1;[497, '668', 0.011190957222650311]
1;[498, '675', 0.011179670369155145]
1;[499, '904', 0.01113117391543475]
1;[500, '775', 0.010986323428662929]
1;[501, '672', 0.010983540320590453]
1;[502, '289', 0.010963744219552674]
1;[503, '764', 0.010893904852581142]
1;[504, '700', 0.010855742788754466]
1;[505, '113', 0.010815055673158056]
1;[506, '355', 0.010809402860059832]
1;[507, '1151', 0.010797133813007793]
1;[508, '798', 0.01079127037066296]
1;[509, '282', 0.010790044373251248]
1;[510, '1017', 0.010660524373709061]
1;[511, '1214', 0.010656899325440745]
1;[512, '554', 0.010655173012225015]
1;[513, '3', 0.010578778345479243]
1;[514, '1132', 0.010562547633904728]
1;[515, '1120', 0.01053600165500693]
1;[516, '323', 0.01045074991138475]
1;[517, '802', 0.010319109577445031]
1;[518, '480', 0.0102621244512684]
1;[519, '689', 0.010257820101208235]
1;[520, '1024', 0.010245954647122621]
1;[521, '992', 0.01017596200507309]
1;[522, '695', 0.010165895298899781]
1;[523, '1105', 0.010126971040894096]
1;[524, '1086', 0.010122374835758452]
1;[525, '1101', 0.010081612996563228]
1;[526, '1197', 0.010073800462852622]
1;[527, '64', 0.010073434189289994]
1;[528, '167', 0.0100408080152399]
1;[529, '199', 0.010004128705586717]
1;[530, '719', 0.009999790049014702]
1;[531, '1114', 0.009959088803302181]
1;[532, '251', 0.009951229531751123]
1;[533, '732', 0.009949140503558008]
1;[534, '1136', 0.009903081291275923]
1;[535, '807', 0.009870349519022584]
1;[536, '961', 0.009865280487472115]
1;[537, '883', 0.00982955070353261]
1;[538, '1070', 0.009790031537765994]
1;[539, '325', 0.00966970613259629]
1;[540, '971', 0.009619484096294794]
1;[541, '607', 0.009615328724686917]
1;[542, '42', 0.00957660281706983]
1;[543, '170', 0.009540241670732115]
1;[544, '4', 0.009491107909511074]
1;[545, '445', 0.00945462879118765]
1;[546, '74', 0.00942168930411379]
1;[547, '419', 0.00941562884879918]
1;[548, '934', 0.009389552641129121]
1;[549, '563', 0.009377565118479389]
1;[550, '1074', 0.009374327222935195]
1;[551, '785', 0.009344549812012928]
1;[552, '730', 0.009328997228413198]
1;[553, '1137', 0.009294522936175127]
1;[554, '874', 0.009287034647584382]
1;[555, '182', 0.009225751249748627]
1;[556, '772', 0.00921374005285803]
1;[557, '1025', 0.009154415022401326]
1;[558, '1040', 0.009115510743411834]
1;[559, '669', 0.009083555803673564]
1;[560, '308', 0.008978374592634425]
1;[561, '125', 0.008953807137763344]
1;[562, '390', 0.008943369124769677]
1;[563, '770', 0.008895584695070834]
1;[564, '65', 0.008883259732230244]
1;[565, '687', 0.008880725123841797]
1;[566, '945', 0.008879739315233713]
1;[567, '206', 0.00880182693174539]
1;[568, '1126', 0.008794369512860672]
1;[569, '420', 0.008753805011084664]
1;[570, '313', 0.00868955922630393]
1;[571, '140', 0.00868887819943896]
1;[572, '156', 0.00856786653837001]
1;[573, '640', 0.00852797667655187]
1;[574, '8', 0.008514615600569089]
1;[575, '193', 0.008504224632496494]
1;[576, '1170', 0.008502279371592565]
1;[577, '233', 0.008449480313589178]
1;[578, '424', 0.008448780955723495]
1;[579, '222', 0.008395445054796282]
1;[580, '703', 0.008350118457604732]
1;[581, '863', 0.008332520136263621]
1;[582, '370', 0.008331120036047879]
1;[583, '237', 0.008330344698059499]
1;[584, '173', 0.00826022097015296]
1;[585, '1051', 0.008252092283571778]
1;[586, '929', 0.008226054185061785]
1;[587, '794', 0.008219674167854685]
1;[588, '889', 0.008208797796352557]
1;[589, '1218', 0.008199773773623291]
1;[590, '888', 0.0081865610032146]
1;[591, '367', 0.008178447802952918]
1;[592, '397', 0.008151117544114015]
1;[593, '178', 0.008134099820658278]
1;[594, '341', 0.008119612728834021]
1;[595, '922', 0.00811268731128239]
1;[596, '315', 0.008093886728161585]
1;[597, '757', 0.008042902142391251]
1;[598, '361', 0.00801032619128086]
1;[599, '1141', 0.007967134250236938]
1;[600, '292', 0.007891379944755436]
1;[601, '149', 0.007877176136724952]
1;[602, '1220', 0.007855172118361536]
1;[603, '407', 0.007709808291650271]
1;[604, '1099', 0.007696047579454339]
1;[605, '743', 0.00765640959406222]
1;[606, '626', 0.007624337027937786]
1;[607, '1056', 0.007620242898930304]
1;[608, '254', 0.007603318223497366]
1;[609, '191', 0.007599016185135641]
1;[610, '269', 0.007596802882347954]
1;[611, '981', 0.007572115369319988]
1;[612, '1053', 0.007426938097558295]
1;[613, '21', 0.007422906542676842]
1;[614, '986', 0.007402299478906809]
1;[615, '983', 0.0073360466097785425]
1;[616, '1226', 0.007276701718864395]
1;[617, '556', 0.007266735071462831]
1;[618, '84', 0.007256614087982392]
1;[619, '1032', 0.00724088287129981]
1;[620, '736', 0.007236113798202965]
1;[621, '1043', 0.007209004611665736]
1;[622, '1116', 0.0071689195815393325]
1;[623, '1095', 0.007092543872135423]
1;[624, '396', 0.007085997839357334]
1;[625, '68', 0.007064670084255355]
1;[626, '253', 0.007057442700975582]
1;[627, '169', 0.0070168253562535345]
1;[628, '1046', 0.006966109248218853]
1;[629, '227', 0.006958790509566384]
1;[630, '274', 0.006954244363180069]
1;[631, '252', 0.006916825616999325]
1;[632, '154', 0.006838796598711342]
1;[633, '15', 0.006708260200841596]
1;[634, '221', 0.006699118473665175]
1;[635, '605', 0.006669721825574185]
1;[636, '937', 0.006654591092229326]
1;[637, '670', 0.006653727360766511]
1;[638, '963', 0.0066144326680924]
1;[639, '1010', 0.006602005870711882]
1;[640, '143', 0.006589955609389441]
1;[641, '92', 0.006586014857037879]
1;[642, '569', 0.006556034217524216]
1;[643, '643', 0.006550062459180144]
1;[644, '148', 0.006535023636969612]
1;[645, '13', 0.006524062203556994]
1;[646, '1052', 0.006492993152658158]
1;[647, '454', 0.0064802396539727965]
1;[648, '278', 0.006463740684523966]
1;[649, '90', 0.006398610857607676]
1;[650, '146', 0.006319756542931171]
1;[651, '843', 0.006318459973925913]
1;[652, '1134', 0.006312965554577662]
1;[653, '659', 0.0063055789523594925]
1;[654, '752', 0.00630058099794595]
1;[655, '508', 0.006278904464196543]
1;[656, '598', 0.006268006706822176]
1;[657, '944', 0.006208363141026174]
1;[658, '409', 0.006201983947849153]
1;[659, '336', 0.0061764913408653]
1;[660, '1085', 0.0061216759911063845]
1;[661, '886', 0.006106008885484861]
1;[662, '518', 0.00605518804108731]
1;[663, '337', 0.00605387101846988]
1;[664, '110', 0.005998306592794547]
1;[665, '898', 0.005986458185910484]
1;[666, '726', 0.00597082011848553]
1;[667, '995', 0.005952903040011098]
1;[668, '731', 0.005939359957207316]
1;[669, '584', 0.00592477284078282]
1;[670, '108', 0.005804670940500388]
1;[671, '953', 0.005804227537605943]
1;[672, '838', 0.00579716563214128]
1;[673, '717', 0.005791387751490113]
1;[674, '832', 0.005708954351867952]
1;[675, '368', 0.005683593584214108]
1;[676, '855', 0.005671776010845016]
1;[677, '49', 0.005666391783079713]
1;[678, '1073', 0.005666237751705426]
1;[679, '443', 0.005665323037413445]
1;[680, '209', 0.005660829773644176]
1;[681, '548', 0.005656640916838834]
1;[682, '616', 0.005656495394937451]
1;[683, '72', 0.00559807539244927]
1;[684, '196', 0.005582531857175074]
1;[685, '1012', 0.005577045587285608]
1;[686, '225', 0.005515174901450508]
1;[687, '283', 0.005507306220161594]
1;[688, '232', 0.0054847901639080675]
1;[689, '946', 0.005470530113905375]
1;[690, '418', 0.0054510077756929785]
1;[691, '683', 0.0054489383222450114]
1;[692, '902', 0.005413969731093781]
1;[693, '1096', 0.005399134242377903]
1;[694, '425', 0.005398046477424005]
1;[695, '1127', 0.005380049726702843]
1;[696, '85', 0.005370309213372429]
1;[697, '599', 0.005344040195607812]
1;[698, '1038', 0.005325332334293401]
1;[699, '442', 0.005312460018561309]
1;[700, '1076', 0.005281392924384273]
1;[701, '408', 0.005256983299372274]
1;[702, '1128', 0.005231947645945587]
1;[703, '601', 0.005224974955394842]
1;[704, '841', 0.005223564231120388]
1;[705, '371', 0.005194053858729506]
1;[706, '822', 0.005190602761913212]
1;[707, '1115', 0.005165169905499428]
1;[708, '749', 0.005150454066538775]
1;[709, '5', 0.005115098161071414]
1;[710, '377', 0.005099746616031661]
1;[711, '1198', 0.005095842466334758]
1;[712, '862', 0.005080014847945654]
1;[713, '1167', 0.005029067261317685]
1;[714, '1030', 0.005011828262822068]
1;[715, '762', 0.0049994631871129805]
1;[716, '124', 0.004978475554394358]
1;[717, '95', 0.004941162328279913]
1;[718, '457', 0.0049337621929389786]
1;[719, '230', 0.004901704380758837]
1;[720, '849', 0.004885847473644438]
1;[721, '506', 0.004793746884911782]
1;[722, '432', 0.004784307458409538]
1;[723, '137', 0.0047763575520435595]
1;[724, '286', 0.004774176166748386]
1;[725, '342', 0.004764809731516711]
1;[726, '750', 0.004758761324756976]
1;[727, '176', 0.004744208922574434]
